	Unnamed: 0	lemme	freqlemlivres	freqlemlivres_cumsum	freqlemlivres_cumsumpercent
0	35278	de	38928.92	38928.92	3.892892
1	75471	la	23633.92	62562.84	6.256284
2	52787	et	20879.73	83442.56999999999	8.344256999999999
3	137701	à	19209.05	102651.62	10.265162
4	76448	le	18310.95	120962.57	12.096257000000001
5	68080	il	15832.09	136794.66	13.679466
6	52031	être	15085.47	151880.13	15.188013
7	76505	les	14662.3	166542.43	16.654243
8	86465	ne	13841.89	180384.32	18.038432
9	133517	un	13550.68	193935.0	19.3935
10	1	avoir	12800.81	206735.81	20.673581
11	75464	l'	12746.76	219482.57	21.948257
12	34930	d'	11876.35	231358.92	23.135892
13	74319	je	10862.77	242221.69	24.222169
14	35695	des	10624.93	252846.62	25.284662
15	133528	une	9587.97	262434.59	26.243459
16	92981	pas	8795.14	271229.73	27.122973
17	48664	en	8732.57	279962.3	27.99623
18	35144	dans	8296.08	288258.38	28.825838
19	104173	qui	7923.24	296181.62	29.618162
20	47278	elle	6991.49	303173.11	30.317311
21	39077	du	6882.16	310055.27	31.005527
22	119280	se	6587.77	316643.04	31.664304
23	52030	être	6501.82	323144.86	32.314485999999995
24	2	avoir	6426.49	329571.35	32.957135
25	99045	pour	6198.24	335769.59	33.576958999999995
26	117206	s'	5391.62	341161.21	34.116121
27	54981	faire	5328.99	346490.19999999995	34.64901999999999
28	10780	au	5322.5	351812.69999999995	35.18127
29	125033	sur	5320.47	357133.1699999999	35.71331699999999
30	97334	plus	5014.53	362147.7	36.21477
31	89748	on	4838.38	366986.08	36.69860799999999
32	36795	dire	4832.5	371818.58	37.181858
33	121521	son	4696.15	376514.73	37.651473
34	79217	mais	4463.72	380978.45	38.09784499999999
35	81384	me	4264.32	385242.77	38.524277000000005
36	78156	lui	4225.14	389467.91	38.946791
37	11570	avec	4000.41	393468.32	39.34683199999999
38	88014	nous	3867.84	397336.16	39.733616
39	117207	sa	3732.43	401068.59	40.106859
40	91976	par	3727.09	404795.68	40.479568
41	136706	vous	3507.16	408302.84	40.830284000000006
42	27118	comme	3429.32	411732.16	41.173216
43	104075	que	3315.95	415048.11	41.504811
44	130021	tout	3171.35	418219.46	41.821946000000004
45	120030	ses	3105.41	421324.87	42.13248699999999
46	137350	y	3086.76	424411.63	42.441163
47	22140	ce	2958.58	427370.21	42.737021
48	3949	aller	2854.93	430225.14	43.022514
49	68193	ils	2809.53	433034.67	43.303467
50	95017	pouvoir	2659.8	435694.47	43.569447
51	75466	l'	2575.41	438269.88	43.82698799999999
52	132592	tu	2537.03	440806.91	44.080691
53	14520	bien	2535.14	443342.05	44.334205
54	137791	ça	2477.64	445819.69	44.581969
55	48665	en	2458.31	448278.0	44.8278
56	22139	ce	2436.55	450714.55	45.071455
57	90761	ou	2429.86	453144.41	45.314441
58	76449	le	2424.19	455568.6	45.55686
59	135009	voir	2401.76	457970.36	45.797036
60	22501	cette	2320.68	460291.04	46.029104
61	83604	mon	2307.97	462599.01	46.25990099999999
62	118085	sans	2224.12	464823.13	46.482313
63	91176	où	2068.11	466891.23999999993	46.68912399999999
64	117363	savoir	2003.58	468894.82	46.889482
65	11358	aux	1907.57	470802.39	47.080239
66	83388	moi	1877.57	472679.96	47.267996000000004
67	78759	ma	1667.16	474347.12	47.43471199999999
68	135221	vouloir	1640.14	475987.26	47.59872599999999
69	130058	tout	1639.19	477626.45	47.76264499999999
70	49065	encore	1579.05	479205.5	47.92054999999999
71	36019	deux	1557.91	480763.4099999999	48.07634099999999
72	22458	ces	1547.5	482310.9099999999	48.23109099999999
73	94922	petit	1541.96	483852.87	48.38528699999999
74	112655	rien	1522.91	485375.7799999999	48.53757799999999
75	134662	venir	1514.53	486890.31	48.68903099999999
76	103907	quand	1480.07	488370.38	48.83703799999999
77	93067	prendre	1466.42	489836.79999999993	48.98367999999999
78	76506	les	1412.23	491249.0299999999	49.12490299999999
79	66466	homme	1398.85	492647.87999999995	49.26478799999999
80	11021	aussi	1359.86	494007.73999999993	49.400773999999984
81	86421	même	1358.65	495366.3899999999	49.536638999999994
82	74701	jour	1341.76	496708.1499999999	49.67081499999999
83	36034	devoir	1318.18	498026.3299999999	49.80263299999999
84	127904	temps	1289.39	499315.7199999999	49.93157199999999
85	55040	falloir	1250.41	500566.12999999995	50.05661299999999
86	63162	grand	1244.66	501810.7899999999	50.18107899999999
87	75473	la	1242.64	503053.42999999993	50.30534299999999
88	89310	oeil	1234.59	504288.0199999999	50.42880199999999
89	79161	main	1229.39	505517.4099999999	50.55174099999999
90	93002	passer	1165.27	506682.67999999993	50.66826799999999
91	57652	fois	1140.0	507822.67999999993	50.782268
92	87634	non	1135.81	508958.48999999993	50.89584899999999
93	74112	jamais	1122.97	510081.4599999999	51.00814599999999
94	132442	très	1120.81	511202.2699999999	51.12022699999999
95	129791	toujours	1093.78	512296.04999999993	51.22960499999999
96	78429	là	1089.66	513385.7099999999	51.33857099999999
97	92518	parler	1086.01	514471.7199999999	51.447172
98	81847	mettre	1083.72	515555.43999999994	51.55554399999999
99	24355	chose	1057.64	516613.0799999999	51.66130799999999
100	4789	alors	1033.78	517646.8599999999	51.76468599999999
101	122368	sous	1032.7	518679.56	51.86795599999999
102	94974	peu	1023.38	519702.94	51.970294
103	81764	mes	1023.11	520726.04999999993	52.072605
104	108525	regarder	997.91	521723.9599999999	52.17239599999999
105	55792	femme	995.74	522719.6999999999	52.27196999999999
106	35340	demander	984.46	523704.1599999999	52.37041599999999
107	132270	trouver	972.5	524676.6599999999	52.467666
108	38372	dont	960.34	525636.9999999999	52.56369999999999
109	135061	vers	956.15	526593.1499999999	52.65931499999999
110	124537	suivre	949.12	527542.2699999999	52.75422699999999
111	33376	croire	947.23	528489.4999999999	52.84894999999999
112	120214	si	933.99	529423.4899999999	52.94234899999999
113	120213	si	924.93	530348.4199999999	53.03484199999999
114	66116	heure	924.05	531272.47	53.127247
115	133383	tête	923.45	532195.9199999999	53.21959199999999
116	120042	seul	915.27	533111.19	53.311119
117	38314	donner	896.01	534007.2	53.40071999999999
118	76606	leurs	886.55	534893.75	53.489375
119	11321	autre	870.14	535763.89	53.576389
120	94030	penser	869.8	536633.6900000001	53.663368999999996
121	135478	vie	853.31	537487.0000000001	53.74870000000002
122	75654	laisser	851.55	538338.5500000003	53.83385500000002
123	130060	tout	838.04	539176.5900000002	53.91765900000002
124	32142	coup	837.7	540014.2900000003	54.001429000000016
125	102621	puis	836.42	540850.7100000002	54.08507100000002
126	51248	entre	833.99	541684.7000000002	54.16847000000002
127	7977	après	821.55	542506.2500000002	54.25062500000002
